Career Path,Required Skills,Required Experience
Clinical Research Coordinator,"Pharmacology, Radiology, Anatomy & Physiology",8+ years
Neurologist,"Clinical Research, Radiology, Emergency Response, Medical Ethics",11+ years
Emergency Medicine Physician,"Emergency Response, Pharmacology, Clinical Research, Patient Care, Medical Ethics",6+ years
Cybersecurity Analyst,"Cloud Computing, Data Science, Cybersecurity",7+ years
Emergency Medicine Physician,"Clinical Research, Pharmacology, Radiology",4+ years
Mechatronics Engineer,"Materials Science, Fluid Mechanics, Thermodynamics, Circuit Design",8+ years
Pathologist,"Medical Ethics, Radiology, Patient Care, Emergency Response",10+ years
Geotechnical Engineer,"Fluid Mechanics, Circuit Design, Materials Science, CAD (Computer-Aided Design), Thermodynamics",10+ years
System Administrator,"DevOps, C++, UI/UX Design",9+ years
Geotechnical Engineer,"Robotics, Fluid Mechanics, Materials Science, Thermodynamics, Structural Analysis, CAD (Computer-Aided Design)",12+ years
Surgeon,"Patient Care, Emergency Response, Anatomy & Physiology, Medical Ethics, Clinical Research",4+ years
System Administrator,"Python, Java, DevOps, Machine Learning",7+ years
IT Project Manager,"Python, Java, Cybersecurity",7+ years
Machine Learning Engineer,"Cybersecurity, UI/UX Design, Python, SQL, C++",11+ years
Software Engineer,"DevOps, Python, Cloud Computing, UI/UX Design, Data Science, Machine Learning",9+ years
Data Scientist,"Python, SQL, Cybersecurity, Java",6+ years
General Practitioner,"Radiology, Clinical Research, Medical Ethics, Emergency Response, Patient Care, Anatomy & Physiology",3+ years
System Administrator,"Python, Java, SQL, Data Science",7+ years
Robotics Engineer,"Structural Analysis, CAD (Computer-Aided Design), Materials Science, Thermodynamics, Fluid Mechanics",10+ years
System Administrator,"C++, UI/UX Design, DevOps, Cybersecurity",8+ years
Mobile App Developer,"Machine Learning, C++, Data Science, UI/UX Design, Python, Cybersecurity",8+ years
Surgeon,"Anatomy & Physiology, Emergency Response, Patient Care, Medical Ethics, Pharmacology, Clinical Research",9+ years
Mobile App Developer,"SQL, Java, Python, C++, Machine Learning, Data Science",10+ years
System Administrator,"Cybersecurity, Python, Machine Learning, UI/UX Design",11+ years
Anesthesiologist,"Pharmacology, Radiology, Clinical Research, Medical Ethics, Anatomy & Physiology",10+ years
Renewable Energy Engineer,"Circuit Design, Structural Analysis, Fluid Mechanics",10+ years
Genetic Counselor,"Emergency Response, Clinical Research, Anatomy & Physiology, Radiology",12+ years
Data Scientist,"C++, Cybersecurity, DevOps, Python, Machine Learning",5+ years
Cloud Architect,"UI/UX Design, Cloud Computing, Machine Learning, DevOps",4+ years
Telecommunications Engineer,"Circuit Design, Fluid Mechanics, Structural Analysis, Thermodynamics, Materials Science, Robotics",7+ years
Machine Learning Engineer,"Java, UI/UX Design, Cloud Computing",9+ years
Genetic Counselor,"Clinical Research, Patient Care, Pharmacology, Radiology, Emergency Response",5+ years
Software Engineer,"DevOps, Cybersecurity, Data Science, C++, Machine Learning, SQL",10+ years
Software Engineer,"DevOps, UI/UX Design, Java, Data Science, Cybersecurity, Machine Learning",8+ years
Robotics Engineer,"Thermodynamics, Fluid Mechanics, Circuit Design",4+ years
IT Project Manager,"C++, Java, DevOps, SQL, Cybersecurity",7+ years
Mechanical Engineer,"CAD (Computer-Aided Design), Robotics, Thermodynamics, Materials Science, Structural Analysis, Circuit Design",5+ years
Machine Learning Engineer,"Cloud Computing, Data Science, Python",8+ years
Structural Engineer,"Circuit Design, Materials Science, Thermodynamics, Structural Analysis",11+ years
Pathologist,"Pharmacology, Medical Ethics, Patient Care, Anatomy & Physiology, Clinical Research, Radiology",10+ years
Surgeon,"Clinical Research, Patient Care, Radiology",5+ years
Neurologist,"Radiology, Anatomy & Physiology, Clinical Research",6+ years
AI Research Scientist,"DevOps, Machine Learning, Python, UI/UX Design, Java, Cybersecurity",5+ years
Pediatrician,"Pharmacology, Patient Care, Radiology, Emergency Response, Clinical Research",7+ years
System Administrator,"UI/UX Design, C++, Java, SQL",11+ years
Medical Researcher,"Emergency Response, Radiology, Medical Ethics, Clinical Research, Patient Care",12+ years
Radiologist,"Patient Care, Clinical Research, Pharmacology, Radiology",4+ years
Structural Engineer,"Thermodynamics, Materials Science, Circuit Design, Structural Analysis",7+ years
Network Engineer,"Cloud Computing, UI/UX Design, Python",5+ years
Cybersecurity Analyst,"UI/UX Design, Machine Learning, Data Science, Java, DevOps",5+ years
IT Project Manager,"UI/UX Design, Python, SQL",3+ years
Automation Engineer,"CAD (Computer-Aided Design), Fluid Mechanics, Structural Analysis, Materials Science, Circuit Design",3+ years
Telecommunications Engineer,"Structural Analysis, Robotics, Circuit Design, Thermodynamics",7+ years
Aerospace Engineer,"Circuit Design, Fluid Mechanics, Thermodynamics, Structural Analysis, CAD (Computer-Aided Design)",4+ years
Emergency Medicine Physician,"Radiology, Clinical Research, Medical Ethics, Anatomy & Physiology, Emergency Response",8+ years
Transportation Engineer,"Materials Science, CAD (Computer-Aided Design), Fluid Mechanics, Structural Analysis",3+ years
AI Research Scientist,"Data Science, C++, Python",7+ years
Clinical Research Coordinator,"Patient Care, Clinical Research, Emergency Response, Pharmacology, Medical Ethics, Radiology",11+ years
Geotechnical Engineer,"Circuit Design, Fluid Mechanics, CAD (Computer-Aided Design), Thermodynamics, Materials Science, Robotics",9+ years
UI/UX Designer,"Machine Learning, Data Science, Java",4+ years
Robotics Engineer,"Fluid Mechanics, Circuit Design, Structural Analysis, Robotics, CAD (Computer-Aided Design), Thermodynamics",5+ years
Robotics Engineer,"Materials Science, Robotics, Thermodynamics, CAD (Computer-Aided Design)",6+ years
Psychiatrist,"Emergency Response, Medical Ethics, Clinical Research",6+ years
Clinical Research Coordinator,"Emergency Response, Pharmacology, Radiology, Patient Care, Clinical Research",10+ years
Mechanical Engineer,"Circuit Design, CAD (Computer-Aided Design), Fluid Mechanics",12+ years
System Administrator,"UI/UX Design, C++, Python, Data Science",9+ years
DevOps Engineer,"Machine Learning, SQL, DevOps, Data Science, Python, C++",12+ years
Oncologist,"Radiology, Patient Care, Pharmacology, Anatomy & Physiology, Clinical Research",4+ years
DevOps Engineer,"C++, SQL, UI/UX Design, Cloud Computing, Python, DevOps",5+ years
Game Developer,"Machine Learning, Cybersecurity, DevOps",7+ years
Public Health Specialist,"Radiology, Medical Ethics, Anatomy & Physiology, Clinical Research, Patient Care",10+ years
Neurologist,"Radiology, Pharmacology, Emergency Response",5+ years
Geotechnical Engineer,"Materials Science, Fluid Mechanics, Structural Analysis, CAD (Computer-Aided Design), Thermodynamics",3+ years
Pathologist,"Clinical Research, Emergency Response, Radiology, Patient Care, Pharmacology, Anatomy & Physiology",8+ years
Psychiatrist,"Emergency Response, Pharmacology, Radiology",5+ years
System Administrator,"Java, C++, Cloud Computing, Python",7+ years
Anesthesiologist,"Patient Care, Anatomy & Physiology, Medical Ethics, Emergency Response, Radiology, Pharmacology",7+ years
Pediatrician,"Anatomy & Physiology, Radiology, Medical Ethics, Patient Care, Emergency Response, Pharmacology",4+ years
Network Engineer,"SQL, Cybersecurity, Cloud Computing, Data Science",12+ years
Genetic Counselor,"Clinical Research, Pharmacology, Emergency Response, Medical Ethics",8+ years
Neurologist,"Patient Care, Anatomy & Physiology, Medical Ethics, Clinical Research",5+ years
Public Health Specialist,"Pharmacology, Patient Care, Medical Ethics, Emergency Response",5+ years
Mobile App Developer,"DevOps, Java, C++, Cloud Computing",7+ years
AI Research Scientist,"Cloud Computing, Data Science, Java, C++",5+ years
Medical Researcher,"Radiology, Clinical Research, Emergency Response, Anatomy & Physiology, Patient Care, Medical Ethics",11+ years
Aerospace Engineer,"Robotics, Materials Science, Fluid Mechanics, Circuit Design, Thermodynamics, CAD (Computer-Aided Design)",9+ years
Cardiologist,"Pharmacology, Emergency Response, Clinical Research",9+ years
Mobile App Developer,"SQL, UI/UX Design, Cloud Computing, Python",4+ years
Transportation Engineer,"Circuit Design, Structural Analysis, Thermodynamics, Robotics",7+ years
Clinical Research Coordinator,"Anatomy & Physiology, Radiology, Clinical Research",8+ years
Power Systems Engineer,"Circuit Design, CAD (Computer-Aided Design), Materials Science, Fluid Mechanics, Robotics",10+ years
Telecommunications Engineer,"Robotics, Circuit Design, Thermodynamics",4+ years
Pathologist,"Anatomy & Physiology, Pharmacology, Emergency Response, Radiology, Medical Ethics",8+ years
Pediatrician,"Pharmacology, Patient Care, Clinical Research, Anatomy & Physiology, Radiology, Emergency Response",12+ years
Power Systems Engineer,"Thermodynamics, Fluid Mechanics, CAD (Computer-Aided Design)",10+ years
AI Research Scientist,"C++, UI/UX Design, Data Science, Cybersecurity, Java, Machine Learning",6+ years
Robotics Engineer,"Thermodynamics, Robotics, Materials Science, Circuit Design, Structural Analysis, Fluid Mechanics",9+ years
Aerospace Engineer,"CAD (Computer-Aided Design), Materials Science, Structural Analysis, Fluid Mechanics",10+ years
Telecommunications Engineer,"Materials Science, Circuit Design, Fluid Mechanics",6+ years
Radiologist,"Patient Care, Radiology, Medical Ethics, Clinical Research",6+ years
Pathologist,"Clinical Research, Anatomy & Physiology, Radiology, Emergency Response, Pharmacology, Patient Care",4+ years
IT Project Manager,"UI/UX Design, Java, Data Science, Python, DevOps",9+ years
Civil Engineer,"Robotics, Circuit Design, Thermodynamics",5+ years
Genetic Counselor,"Medical Ethics, Emergency Response, Clinical Research, Pharmacology",12+ years
Neurologist,"Emergency Response, Patient Care, Clinical Research",12+ years
Anesthesiologist,"Medical Ethics, Emergency Response, Anatomy & Physiology",9+ years
AI Research Scientist,"Python, Cybersecurity, Machine Learning, Cloud Computing, Data Science, C++",10+ years
Pathologist,"Clinical Research, Medical Ethics, Pharmacology, Radiology",5+ years
Oncologist,"Patient Care, Medical Ethics, Radiology",11+ years
Cardiologist,"Radiology, Medical Ethics, Clinical Research, Anatomy & Physiology, Pharmacology, Emergency Response",10+ years
Machine Learning Engineer,"Cloud Computing, Cybersecurity, DevOps, SQL, Java",4+ years
Automation Engineer,"Structural Analysis, CAD (Computer-Aided Design), Robotics, Materials Science",3+ years
Renewable Energy Engineer,"Structural Analysis, Fluid Mechanics, Thermodynamics, Circuit Design, CAD (Computer-Aided Design), Robotics",4+ years
Anesthesiologist,"Patient Care, Medical Ethics, Pharmacology, Clinical Research, Emergency Response, Radiology",11+ years
Radiologist,"Emergency Response, Patient Care, Medical Ethics, Radiology",4+ years
Materials Engineer,"CAD (Computer-Aided Design), Circuit Design, Fluid Mechanics, Robotics",12+ years
Geotechnical Engineer,"Thermodynamics, Structural Analysis, Robotics, CAD (Computer-Aided Design), Circuit Design",8+ years
Structural Engineer,"Fluid Mechanics, Thermodynamics, Robotics",3+ years
Database Administrator,"Java, Cloud Computing, Python, C++, UI/UX Design, DevOps",4+ years
Mechanical Engineer,"Thermodynamics, CAD (Computer-Aided Design), Materials Science, Robotics, Structural Analysis, Fluid Mechanics",5+ years
Power Systems Engineer,"Fluid Mechanics, Materials Science, CAD (Computer-Aided Design), Structural Analysis, Robotics",11+ years
Transportation Engineer,"Circuit Design, Thermodynamics, Structural Analysis",6+ years
Clinical Research Coordinator,"Radiology, Clinical Research, Medical Ethics, Emergency Response",10+ years
Mechatronics Engineer,"Circuit Design, Fluid Mechanics, Thermodynamics, Materials Science, Robotics, CAD (Computer-Aided Design)",10+ years
Robotics Engineer,"Circuit Design, Materials Science, CAD (Computer-Aided Design), Fluid Mechanics",12+ years
Neurologist,"Patient Care, Clinical Research, Anatomy & Physiology",8+ years
Mobile App Developer,"Machine Learning, Java, DevOps, Data Science, Python",10+ years
Neurologist,"Clinical Research, Pharmacology, Patient Care, Emergency Response",12+ years
Cardiologist,"Clinical Research, Patient Care, Emergency Response, Medical Ethics",5+ years
Robotics Engineer,"Materials Science, Structural Analysis, Robotics, Fluid Mechanics, CAD (Computer-Aided Design)",10+ years
Robotics Engineer,"Circuit Design, Thermodynamics, Fluid Mechanics, Robotics, CAD (Computer-Aided Design)",3+ years
System Administrator,"Java, Machine Learning, UI/UX Design",6+ years
Data Scientist,"Machine Learning, Python, Data Science",9+ years
Blockchain Developer,"DevOps, Machine Learning, Data Science",11+ years
IT Project Manager,"Cybersecurity, DevOps, UI/UX Design, Python",7+ years
Neurologist,"Pharmacology, Emergency Response, Patient Care",3+ years
System Administrator,"UI/UX Design, Machine Learning, Cybersecurity, Python, Cloud Computing, Data Science",10+ years
Power Systems Engineer,"CAD (Computer-Aided Design), Circuit Design, Fluid Mechanics, Thermodynamics, Structural Analysis",3+ years
Biomedical Engineer,"Circuit Design, Materials Science, CAD (Computer-Aided Design), Structural Analysis, Fluid Mechanics",7+ years
IT Project Manager,"Python, UI/UX Design, Data Science, Cybersecurity",10+ years
Power Systems Engineer,"Robotics, CAD (Computer-Aided Design), Circuit Design, Structural Analysis, Materials Science, Thermodynamics",5+ years
Civil Engineer,"Fluid Mechanics, Structural Analysis, CAD (Computer-Aided Design), Robotics",11+ years
AI Research Scientist,"DevOps, Cybersecurity, Machine Learning, SQL, UI/UX Design",11+ years
Radiologist,"Patient Care, Anatomy & Physiology, Radiology, Clinical Research",6+ years
AI Research Scientist,"UI/UX Design, Python, Machine Learning",5+ years
Pediatrician,"Emergency Response, Anatomy & Physiology, Patient Care, Medical Ethics, Clinical Research, Pharmacology",9+ years
Structural Engineer,"Structural Analysis, Robotics, Fluid Mechanics, Circuit Design, Materials Science",11+ years
Game Developer,"Cloud Computing, Cybersecurity, C++",10+ years
Psychiatrist,"Anatomy & Physiology, Radiology, Medical Ethics, Emergency Response, Patient Care",11+ years
Cardiologist,"Clinical Research, Patient Care, Medical Ethics, Anatomy & Physiology, Pharmacology",4+ years
Data Scientist,"Cybersecurity, Java, SQL",12+ years
Anesthesiologist,"Emergency Response, Pharmacology, Anatomy & Physiology, Clinical Research, Patient Care, Radiology",10+ years
Data Scientist,"DevOps, SQL, Machine Learning, Java, UI/UX Design, Data Science",5+ years
Geotechnical Engineer,"Structural Analysis, Robotics, Fluid Mechanics, Materials Science",4+ years
Genetic Counselor,"Anatomy & Physiology, Radiology, Emergency Response, Clinical Research, Medical Ethics",7+ years
General Practitioner,"Anatomy & Physiology, Clinical Research, Patient Care, Pharmacology, Emergency Response",10+ years
Structural Engineer,"Fluid Mechanics, Structural Analysis, Robotics, Circuit Design, CAD (Computer-Aided Design), Materials Science",4+ years
Database Administrator,"Machine Learning, Cloud Computing, Cybersecurity, C++",4+ years
Cybersecurity Analyst,"UI/UX Design, Cybersecurity, DevOps, Machine Learning",12+ years
Oncologist,"Clinical Research, Medical Ethics, Emergency Response",7+ years
Automation Engineer,"Fluid Mechanics, Robotics, CAD (Computer-Aided Design), Circuit Design, Thermodynamics, Materials Science",4+ years
Telecommunications Engineer,"Robotics, Thermodynamics, Circuit Design",9+ years
Aerospace Engineer,"Fluid Mechanics, Thermodynamics, CAD (Computer-Aided Design)",9+ years
Clinical Research Coordinator,"Medical Ethics, Pharmacology, Patient Care",3+ years
Aerospace Engineer,"Circuit Design, Thermodynamics, CAD (Computer-Aided Design), Fluid Mechanics, Structural Analysis",8+ years
Mechatronics Engineer,"Materials Science, Fluid Mechanics, Circuit Design, CAD (Computer-Aided Design), Robotics, Thermodynamics",3+ years
Automation Engineer,"Robotics, Materials Science, Circuit Design",11+ years
Anesthesiologist,"Pharmacology, Patient Care, Radiology, Clinical Research, Emergency Response, Anatomy & Physiology",5+ years
Software Engineer,"Java, Python, SQL",12+ years
Oncologist,"Clinical Research, Radiology, Anatomy & Physiology, Emergency Response, Pharmacology, Patient Care",6+ years
Electrical Engineer,"CAD (Computer-Aided Design), Fluid Mechanics, Structural Analysis, Materials Science, Robotics",7+ years
Radiologist,"Patient Care, Medical Ethics, Clinical Research, Pharmacology, Emergency Response, Anatomy & Physiology",12+ years
Anesthesiologist,"Clinical Research, Anatomy & Physiology, Medical Ethics, Patient Care, Pharmacology, Emergency Response",5+ years
Electrical Engineer,"Structural Analysis, Materials Science, Robotics",4+ years
UI/UX Designer,"C++, SQL, DevOps, Cybersecurity, Java",3+ years
Mechanical Engineer,"Structural Analysis, Robotics, Fluid Mechanics, Thermodynamics",8+ years
UI/UX Designer,"DevOps, SQL, Java, Machine Learning, Cybersecurity, Data Science",11+ years
Neurologist,"Patient Care, Emergency Response, Radiology, Pharmacology, Clinical Research",4+ years
System Administrator,"C++, SQL, Python, Cloud Computing",6+ years
Psychiatrist,"Patient Care, Emergency Response, Medical Ethics, Clinical Research, Pharmacology",12+ years
DevOps Engineer,"DevOps, Cybersecurity, SQL, UI/UX Design",8+ years
Power Systems Engineer,"Robotics, Circuit Design, Structural Analysis, Materials Science, CAD (Computer-Aided Design), Thermodynamics",7+ years
Game Developer,"Python, Cloud Computing, Cybersecurity, UI/UX Design, C++, DevOps",7+ years
Cybersecurity Analyst,"DevOps, C++, Machine Learning, UI/UX Design, Data Science, SQL",3+ years
Geotechnical Engineer,"Thermodynamics, Fluid Mechanics, Robotics",7+ years
Oncologist,"Anatomy & Physiology, Pharmacology, Radiology",8+ years
Anesthesiologist,"Clinical Research, Emergency Response, Pharmacology",5+ years
Software Engineer,"Java, C++, Cloud Computing, Python",6+ years
Surgeon,"Pharmacology, Patient Care, Emergency Response, Radiology, Clinical Research, Anatomy & Physiology",5+ years
Civil Engineer,"Circuit Design, Materials Science, Robotics, Fluid Mechanics, Structural Analysis, Thermodynamics",12+ years
Radiologist,"Emergency Response, Medical Ethics, Anatomy & Physiology, Clinical Research, Pharmacology",8+ years
Transportation Engineer,"Fluid Mechanics, Circuit Design, Thermodynamics, CAD (Computer-Aided Design), Robotics",4+ years
Power Systems Engineer,"Circuit Design, CAD (Computer-Aided Design), Thermodynamics, Fluid Mechanics, Robotics, Materials Science",8+ years
Pediatrician,"Clinical Research, Radiology, Patient Care, Emergency Response, Anatomy & Physiology, Medical Ethics",8+ years
Cybersecurity Analyst,"DevOps, Cybersecurity, UI/UX Design, Java, Cloud Computing, Machine Learning",8+ years
Structural Engineer,"Fluid Mechanics, CAD (Computer-Aided Design), Circuit Design",8+ years
Telecommunications Engineer,"Thermodynamics, CAD (Computer-Aided Design), Robotics, Structural Analysis",4+ years
Data Scientist,"Python, Cloud Computing, Cybersecurity",5+ years
Civil Engineer,"CAD (Computer-Aided Design), Structural Analysis, Thermodynamics, Circuit Design, Robotics, Fluid Mechanics",3+ years
Emergency Medicine Physician,"Medical Ethics, Clinical Research, Pharmacology, Emergency Response, Radiology, Patient Care",11+ years
Robotics Engineer,"Structural Analysis, Thermodynamics, CAD (Computer-Aided Design), Materials Science, Circuit Design",12+ years
Automation Engineer,"Fluid Mechanics, Structural Analysis, Materials Science, Thermodynamics, Circuit Design",6+ years
Neurologist,"Patient Care, Clinical Research, Radiology, Pharmacology",9+ years
Mobile App Developer,"Machine Learning, Cloud Computing, DevOps, SQL",5+ years
IT Project Manager,"UI/UX Design, Python, Data Science",11+ years
Civil Engineer,"Fluid Mechanics, Circuit Design, Thermodynamics, Structural Analysis, Robotics",12+ years
Oncologist,"Anatomy & Physiology, Pharmacology, Patient Care, Clinical Research, Medical Ethics, Emergency Response",9+ years
Clinical Research Coordinator,"Radiology, Medical Ethics, Anatomy & Physiology",8+ years
Medical Researcher,"Pharmacology, Medical Ethics, Anatomy & Physiology, Emergency Response, Patient Care, Clinical Research",9+ years
Medical Researcher,"Anatomy & Physiology, Medical Ethics, Emergency Response, Patient Care, Clinical Research",12+ years
Renewable Energy Engineer,"Thermodynamics, Materials Science, Robotics, CAD (Computer-Aided Design)",4+ years
General Practitioner,"Emergency Response, Pharmacology, Radiology",4+ years
Pathologist,"Medical Ethics, Radiology, Clinical Research, Patient Care, Emergency Response",7+ years
Neurologist,"Medical Ethics, Anatomy & Physiology, Clinical Research, Radiology, Emergency Response",9+ years
Anesthesiologist,"Radiology, Medical Ethics, Anatomy & Physiology, Pharmacology, Patient Care, Clinical Research",5+ years
Automation Engineer,"Materials Science, Thermodynamics, Circuit Design, Fluid Mechanics",7+ years
Cardiologist,"Pharmacology, Clinical Research, Medical Ethics, Patient Care, Radiology, Emergency Response",4+ years
UI/UX Designer,"DevOps, Cybersecurity, Machine Learning",7+ years
Transportation Engineer,"Circuit Design, Robotics, CAD (Computer-Aided Design), Materials Science",4+ years
Public Health Specialist,"Patient Care, Emergency Response, Clinical Research",5+ years
Aerospace Engineer,"Robotics, CAD (Computer-Aided Design), Fluid Mechanics, Circuit Design",11+ years
UI/UX Designer,"Data Science, UI/UX Design, Cloud Computing",8+ years
Power Systems Engineer,"Circuit Design, Thermodynamics, Structural Analysis, Robotics",9+ years
Pediatrician,"Emergency Response, Clinical Research, Medical Ethics, Pharmacology",12+ years
Radiologist,"Patient Care, Pharmacology, Emergency Response, Medical Ethics, Radiology",11+ years
Mobile App Developer,"DevOps, Cloud Computing, Java, SQL",11+ years
Cardiologist,"Anatomy & Physiology, Clinical Research, Medical Ethics, Pharmacology, Emergency Response",6+ years
System Administrator,"C++, Python, Machine Learning, Data Science, Cloud Computing, Java",5+ years
Mechanical Engineer,"Thermodynamics, Robotics, Circuit Design, CAD (Computer-Aided Design), Structural Analysis",6+ years
IT Project Manager,"C++, Machine Learning, Java, Python, Cybersecurity",10+ years
Pathologist,"Emergency Response, Medical Ethics, Patient Care, Clinical Research, Anatomy & Physiology",12+ years
Renewable Energy Engineer,"Structural Analysis, Materials Science, Robotics",7+ years
Mechatronics Engineer,"Thermodynamics, CAD (Computer-Aided Design), Fluid Mechanics, Robotics, Materials Science",7+ years
Pathologist,"Medical Ethics, Anatomy & Physiology, Radiology",6+ years
Machine Learning Engineer,"Python, SQL, UI/UX Design, DevOps",5+ years
Cardiologist,"Clinical Research, Pharmacology, Anatomy & Physiology",10+ years
Medical Researcher,"Medical Ethics, Clinical Research, Pharmacology, Anatomy & Physiology, Patient Care",9+ years
Database Administrator,"Cloud Computing, DevOps, UI/UX Design",4+ years
Aerospace Engineer,"Circuit Design, Robotics, Fluid Mechanics, Thermodynamics, CAD (Computer-Aided Design), Structural Analysis",3+ years
General Practitioner,"Clinical Research, Patient Care, Anatomy & Physiology, Pharmacology",10+ years
Pathologist,"Medical Ethics, Pharmacology, Radiology, Anatomy & Physiology, Clinical Research, Patient Care",3+ years
Public Health Specialist,"Pharmacology, Patient Care, Emergency Response, Medical Ethics, Anatomy & Physiology, Clinical Research",3+ years
Materials Engineer,"Circuit Design, Structural Analysis, CAD (Computer-Aided Design)",10+ years
Structural Engineer,"CAD (Computer-Aided Design), Fluid Mechanics, Robotics, Structural Analysis, Thermodynamics",11+ years
Automation Engineer,"Thermodynamics, Fluid Mechanics, Circuit Design, Robotics, CAD (Computer-Aided Design), Materials Science",10+ years
Mechatronics Engineer,"Fluid Mechanics, Robotics, Thermodynamics, Circuit Design",6+ years
Network Engineer,"Machine Learning, UI/UX Design, Python, SQL",12+ years
Biomedical Engineer,"Structural Analysis, Fluid Mechanics, CAD (Computer-Aided Design), Thermodynamics, Robotics, Circuit Design",8+ years
Mechanical Engineer,"Fluid Mechanics, Thermodynamics, Structural Analysis, Circuit Design, Robotics",6+ years
IT Project Manager,"Python, Cybersecurity, Java, Machine Learning, UI/UX Design, SQL",9+ years
Public Health Specialist,"Patient Care, Emergency Response, Medical Ethics",8+ years
Telecommunications Engineer,"CAD (Computer-Aided Design), Circuit Design, Robotics",11+ years
Blockchain Developer,"Java, Python, DevOps",11+ years
Pathologist,"Anatomy & Physiology, Radiology, Medical Ethics, Clinical Research",9+ years
General Practitioner,"Medical Ethics, Pharmacology, Clinical Research",9+ years
General Practitioner,"Anatomy & Physiology, Emergency Response, Patient Care, Medical Ethics, Pharmacology",6+ years
Transportation Engineer,"Thermodynamics, Circuit Design, Structural Analysis, Materials Science, Robotics, Fluid Mechanics",3+ years
Geotechnical Engineer,"Thermodynamics, Materials Science, Circuit Design, Fluid Mechanics, Structural Analysis, CAD (Computer-Aided Design)",3+ years
Renewable Energy Engineer,"Thermodynamics, Materials Science, CAD (Computer-Aided Design), Fluid Mechanics, Circuit Design",8+ years
Automation Engineer,"Thermodynamics, Structural Analysis, Materials Science",12+ years
Neurologist,"Medical Ethics, Pharmacology, Radiology, Emergency Response",12+ years
Pathologist,"Emergency Response, Medical Ethics, Anatomy & Physiology",6+ years
Structural Engineer,"Circuit Design, Robotics, CAD (Computer-Aided Design), Thermodynamics, Structural Analysis, Materials Science",7+ years
Blockchain Developer,"Data Science, Python, Java, Cloud Computing, SQL",8+ years
Cybersecurity Analyst,"Java, Data Science, C++",6+ years
Data Scientist,"Data Science, Machine Learning, C++, Cloud Computing",6+ years
Robotics Engineer,"Circuit Design, Fluid Mechanics, CAD (Computer-Aided Design)",11+ years
Materials Engineer,"Structural Analysis, Materials Science, Thermodynamics",11+ years
Robotics Engineer,"CAD (Computer-Aided Design), Thermodynamics, Robotics, Fluid Mechanics, Circuit Design, Materials Science",8+ years
Materials Engineer,"Materials Science, Thermodynamics, Structural Analysis, Robotics, Circuit Design",7+ years
Cybersecurity Analyst,"DevOps, Cloud Computing, Data Science, Python, UI/UX Design, Machine Learning",6+ years
UI/UX Designer,"Cybersecurity, Python, Machine Learning, DevOps",4+ years
Psychiatrist,"Patient Care, Emergency Response, Radiology",5+ years
Software Engineer,"Data Science, UI/UX Design, SQL, Cloud Computing",6+ years
Psychiatrist,"Emergency Response, Patient Care, Clinical Research, Anatomy & Physiology, Radiology, Medical Ethics",3+ years
Biomedical Engineer,"Fluid Mechanics, Circuit Design, CAD (Computer-Aided Design), Thermodynamics, Materials Science, Structural Analysis",11+ years
Automation Engineer,"Robotics, Fluid Mechanics, Thermodynamics",3+ years
Pediatrician,"Patient Care, Pharmacology, Radiology, Anatomy & Physiology, Clinical Research",7+ years
Data Scientist,"Java, C++, Cloud Computing, SQL, Data Science",3+ years
UI/UX Designer,"Java, DevOps, C++, Machine Learning",11+ years
Psychiatrist,"Radiology, Emergency Response, Anatomy & Physiology, Pharmacology, Clinical Research, Patient Care",4+ years
Data Scientist,"Data Science, Cybersecurity, Python",12+ years
Transportation Engineer,"CAD (Computer-Aided Design), Materials Science, Structural Analysis, Fluid Mechanics",7+ years
Clinical Research Coordinator,"Radiology, Medical Ethics, Anatomy & Physiology, Emergency Response",8+ years
Emergency Medicine Physician,"Clinical Research, Medical Ethics, Pharmacology, Anatomy & Physiology, Emergency Response, Radiology",10+ years
Public Health Specialist,"Patient Care, Radiology, Anatomy & Physiology",3+ years
Structural Engineer,"Robotics, Thermodynamics, CAD (Computer-Aided Design), Fluid Mechanics",3+ years
System Administrator,"DevOps, Data Science, Cybersecurity, Cloud Computing",3+ years
UI/UX Designer,"Cybersecurity, UI/UX Design, Python, SQL",10+ years
Game Developer,"Data Science, UI/UX Design, Java, Cloud Computing",4+ years
Clinical Research Coordinator,"Anatomy & Physiology, Medical Ethics, Patient Care, Pharmacology",6+ years
Game Developer,"DevOps, Cloud Computing, Data Science, Machine Learning, Python",11+ years
Pathologist,"Clinical Research, Anatomy & Physiology, Emergency Response, Medical Ethics, Radiology",6+ years
Psychiatrist,"Radiology, Clinical Research, Pharmacology",6+ years
Cardiologist,"Radiology, Anatomy & Physiology, Patient Care, Medical Ethics",12+ years
Public Health Specialist,"Medical Ethics, Emergency Response, Clinical Research, Radiology",5+ years
Medical Researcher,"Patient Care, Anatomy & Physiology, Clinical Research, Pharmacology, Radiology",3+ years
DevOps Engineer,"Cloud Computing, UI/UX Design, Python, Data Science, Machine Learning",5+ years
Network Engineer,"Java, C++, Machine Learning, SQL, Data Science",8+ years
Emergency Medicine Physician,"Pharmacology, Anatomy & Physiology, Clinical Research, Radiology, Medical Ethics, Patient Care",7+ years
Civil Engineer,"Materials Science, Thermodynamics, CAD (Computer-Aided Design), Structural Analysis, Fluid Mechanics, Circuit Design",12+ years
Machine Learning Engineer,"UI/UX Design, C++, Data Science, Cybersecurity, Java, SQL",7+ years
